Biome,Structure,View,Gravity,Enemies,Object 1,Object 2,Object 3,Object 4,Object 5,Object 6,Object 7,Object 8,Object 9,Object 10
Vertebrae Causeway,"Arched Planes, Canyons","3rd, 3/4, Iso",Y,"Bone Sentries, Sinew Hunters, Marrow Mines",vertebrae arches,bone bridges,spinal ridges,marrow pods,rib spurs,cartilage pads,ossified roots,tusk pillars,bone rubble,sinew strands
Coral Reef Tunnels,Tunneling Caves,"3rd, 3/4",Y,"Reef Drifters, Barracuda Hunters, Urchin Mines",brain coral,staghorn coral,sea fans,sponge barrels,anemone clusters,kelp fronds,urchin spikes,clam shells,coral arches,bubble streams
Desert,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Dust Devils, Scarab Hunters, Sand Mines",sand dunes,rock spires,cactus clumps,dry brush,bleached bones,wind ripples,mesa stones,tumbleweed,sun-cracked slabs,sand geysers
Swamp Forest,Landscape,"3rd, 3/4, Iso, SS, TD",Y,"Marsh Wisps, Gator Stalkers, Bog Mines",cypress trunks,hanging moss,reed beds,lily pads,mud mounds,rotting logs,fungal shelves,vine drapes,water pools,cattail stalks
Crystal Mountain,"Landscape, Mountains, Tunneling Caves, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, SS, TD",Y,"Shard Floaters, Prism Hunters, Geode Mines",crystal peaks,gem outcrops,quartz ridges,prism boulders,mineral spires,shard scree,geode caves,faceted cliffs,crystal trees,glinting veins
Ocean Surface,Landscape,"Iso, TD",Y,"Wave Drifters, Shark Hunters, Buoy Mines",wave crests,foam caps,floating kelp,buoy markers,drifting ice,spray plumes,seabird flocks,wreck flotsam,coral heads,whirlpools
Volcanic Wasteland,"Landscape, Mountains, Tunneling Caves, Canyons","3rd, 3/4, Iso, SS, TD",Y,"Ember Drifters, Ash Stalkers, Cinder Mines",lava vents,ash cones,basalt spikes,ember fields,obsidian shards,smoke plumes,cinder mounds,cracked crust,sulfur pools,spatter cones
Bioluminescent Reef Shallows,Aquatic Canyons,"3rd, 3/4, Iso, TD",Y,"Glow Drifters, Lantern Hunters, Pulse Anemones",glowing coral,light anemones,luminous kelp,glow pods,radiant fans,phosphor sponges,gleaming urchins,neon clams,drifting motes,glow reeds
Scrapyard Dunes,"Landscape, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Scrap Drones, Magnet Hunters, Drum Mines",scrap heaps,crushed hulls,tire mounds,rebar tangles,oil drums,wrecked frames,cable coils,sheet metal,engine blocks,rust dunes
Tundra Plains,Landscape,"3rd, 3/4, Iso, TD",Y,"Frost Wisps, Wolf Stalkers, Ice Mines",snow drifts,ice patches,frost grass,boulder erratics,lichen mats,frozen shrubs,wind sculptures,bone piles,cracked ice,tussock clumps
Savanna Grasslands,Landscape,"3rd, 3/4, Iso, TD",Y,"Dust Weavers, Lion Stalkers, Thorn Mines",tall grass,acacia trees,termite mounds,dry shrubs,rock kopjes,grass tufts,deadwood,watering holes,thorn bushes,bone scatter
Salt Flats,"Landscape, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Brine Drifters, Mirage Hunters, Crust Mines",salt crusts,crystal ridges,mineral pools,cracked polygons,salt pillars,brine puddles,wind ripples,dust devils,borax mounds,evaporite spires
Lava Fields,"Landscape, Arched Planes, Pillared Planes","3rd, 3/4, Iso",Y,"Ember Drifters, Magma Hunters, Spatter Mines",lava flows,pahoehoe ropes,ember cracks,basalt slabs,spatter cones,glowing seams,obsidian chunks,ash mounds,steam vents,cooling crusts
Mushroom Forest Canopy,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Spore Drifters, Cap Hunters, Puffball Mines",giant caps,stalk trunks,spore clouds,bracket shelves,glowing gills,moss beds,toadstool rings,vine drapes,puffballs,fungal bridges
Glacier Fields,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Frost Wisps, Ice Stalkers, Serac Mines",ice cliffs,crevasses,seracs,snow ridges,meltwater pools,frozen boulders,ice arches,frost spires,snow drifts,blue ice sheets
Ashen Wasteland,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Ash Drifters, Cinder Stalkers, Ember Mines",ash dunes,charred trunks,ember cracks,soot mounds,bone piles,cinder cones,smoke wisps,cracked ground,dead shrubs,scorched slabs
Meteor-Cratered Plains,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Debris Drifters, Impactor Hunters, Crater Mines",impact craters,meteor shards,ejecta rays,rock scatter,dust mounds,glass beads,boulder rims,regolith drifts,fissures,iron chunks
Ruined Cityscape,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Patrol Drones, Scavenger Hunters, Rubble Mines",toppled towers,broken walls,rubble piles,rebar spikes,cracked roads,dead traffic lights,billboard frames,car husks,lamp posts,glass shards
Geothermal Vent Fields,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Steam Drifters, Vent Hunters, Geyser Mines",geysers,steam vents,mineral terraces,boiling pools,sulfur mounds,mud pots,sinter cones,algae mats,fumaroles,crusted rims
Petrified Forest,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Stone Wisps, Fossil Stalkers, Agate Mines",stone trunks,fossil logs,mineral stumps,agate rounds,petrified branches,crystal cores,rock roots,quartz veins,stone bark,fossil ferns
Floating Lily-Pad Ocean,Landscape,"3rd, 3/4, Iso, TD",Y,"Pad Drifters, Frog Hunters, Bloom Mines",giant lily pads,lotus blooms,reed clusters,floating logs,water flowers,pad bridges,drifting moss,cattail stalks,bubble columns,water striders
Asteroid Belt,Open Space,"3rd, 3/4",N,"Drifting Sentries, Rock Hunters, Proximity Mines",asteroids,holed asteroids,rock chunks,ice shards,metal ore,dust clouds,tumbling boulders,crater rocks,micrometeorites,debris clusters
Surface of the Sun,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Flare Drifters, Plasma Hunters, Sunspot Mines",plasma arcs,flare loops,granule cells,sunspot pits,prominence jets,ember fountains,magnetic ropes,coronal streamers,fire pillars,spicule spikes
Underwater,"Landscape, Canyons, Arched Planes, Pillared Planes","3rd, 3/4, Iso, TD",Y,"Current Drifters, Shark Hunters, Anemone Mines",kelp forests,coral heads,rock reefs,bubble vents,sea fans,anemones,sunken rocks,silt clouds,urchin beds,current streamers
Ion Storm,Cloudy Open Space,"3rd, 3/4, Iso, TD",N,"Arc Drifters, Bolt Hunters, Static Mines",lightning arcs,charged clouds,plasma bolts,static orbs,ion streamers,energy motes,discharge nodes,storm cells,spark showers,field ripples
Derelict Megastructure Debris Field,Open Space,"3rd, 3/4",N,"Drifting Sentries, Salvage Hunters, Reactor Mines",hull plates,snapped trusses,reactor cores,cargo pods,antenna arrays,bulkhead chunks,cable bundles,solar panels,girder tangles,drifting hatches
Dyson Swarm Fragment,Open Space,"3rd, 3/4",N,"Panel Drones, Collector Hunters, Node Mines",solar collectors,mirror panels,strut frames,power nodes,coolant vanes,satellite modules,cable webs,drifting panels,hub cores,antenna spires
Gravity-Well Anomaly,Open Space,"3rd, 3/4",N,"Orbit Drifters, Lens Hunters, Flux Mines",gravity lenses,debris rings,warped rocks,light arcs,spiraling dust,torn plating,distortion motes,stretched shards,orbiting chunks,flux nodes
Nebula Cloud Banks,Cloudy Open Space,"3rd, 3/4",N,"Gas Drifters, Proto Hunters, Ember Mines",gas wisps,dust pillars,star nurseries,ionized clumps,glowing filaments,particle veils,proto-stars,cloud tendrils,ember motes,drifting haze
Cometary Tail,Open Space,"3rd, 3/4",N,"Ice Drifters, Comet Hunters, Sublimation Mines",ice chunks,dust streams,gas jets,frozen shards,tail streamers,sublimating rocks,crystal grains,debris motes,coma haze,nucleus fragments
Solar Flare Corona,Open Space,"3rd, 3/4",N,"Flare Drifters, Plasma Hunters, Prominence Mines",flare loops,plasma jets,magnetic arcs,ember streams,coronal rain,fire ribbons,spicule spikes,radiant motes,prominence arcs,heat shimmer
Deep Space Void,Open Space,"3rd, 3/4",N,"Drifting Sentries, Lone Hunters, Silent Mines",drifting rocks,ice motes,dust specks,dead satellites,lone asteroids,debris flecks,frozen fragments,distant glints,micro-meteors,silent hulks
Plasma Storm,Cloudy Open Space,"3rd, 3/4",N,"Bolt Drifters, Arc Hunters, Discharge Mines",plasma bolts,energy clouds,arc filaments,charged orbs,discharge nodes,ion streamers,spark showers,field ripples,glowing motes,storm cells
Black Hole Event Horizon Approach,Cloudy Open Space,"3rd, 3/4",Y,"Accretion Drifters, Tidal Hunters, Singularity Mines",accretion rings,spaghettified debris,light arcs,gravity lenses,torn plating,glowing streams,warped shards,orbiting rocks,jet columns,distortion motes
Space Station Debris Field,Open Space,"3rd, 3/4",N,"Patrol Drones, Salvage Hunters, Module Mines",hull panels,solar arrays,module chunks,cable bundles,antenna spars,hatch covers,cargo crates,girder tangles,reactor bits,drifting seats
Jellyfish Swarm Waters,Aquatic Canyons,"3rd, 3/4, Iso, TD",Y,"Bell Drifters, Tentacle Hunters, Sting Mines",jellyfish bells,trailing tentacles,glow pods,drifting motes,kelp strands,bubble columns,coral heads,plankton clouds,sea fans,current streamers
Kelp Forest Open Water,Aquatic Landscape,"3rd, 3/4, Iso, TD",Y,"Frond Drifters, Eel Hunters, Holdfast Mines",kelp stalks,holdfast rocks,sea fans,drifting fronds,bubble streams,urchin beds,fish schools,sunlit shafts,floating leaves,anemone clusters
Cloud City Airspace,Cloudy Open Space,"3rd, 3/4",Y,"Vapor Drifters, Sky Hunters, Balloon Mines",cloud banks,floating platforms,spire towers,sky bridges,balloon buoys,wind vanes,drifting mist,antenna masts,banner poles,vapor plumes
Ring System Transit,Open Space,"3rd, 3/4",N,"Ring Drifters, Shepherd Hunters, Ice Mines",ring ice,rock chunks,dust bands,shepherd moons,ice shards,tumbling boulders,frost grains,debris clumps,gap streams,crystal flakes
Waterfall Cliffs,Cliffs,"3/4, Iso",Y,"Mist Drifters, Rapids Hunters, Plunge Mines",moss boulders,spray rocks,wet ferns,plunge pools,mist veils,slick ledges,fallen logs,rainbow arcs,water reeds,foam churns
Lava Flow Cliffs,Cliffs,"3/4, Iso",Y,"Ember Drifters, Magma Hunters, Cinder Mines",lava runnels,basalt shelves,ember vents,cooling crusts,obsidian shards,spatter cones,smoke plumes,glowing seams,ash mounds,molten drips
